City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
159,Udachnyy,RU,2022-07-29 01:19:48,66.4167,112.4,77.45,50,9,7.74,clear sky
160,Korla,CN,2022-07-29 01:19:48,41.7597,86.1469,86.07,26,98,17.49,overcast clouds
161,Pimentel,PE,2022-07-29 01:19:49,-6.8367,-79.9342,62.35,86,1,14.43,clear sky
162,Solnechnyy,RU,2022-07-29 01:19:49,50.7214,136.6319,77.85,70,100,4.09,overcast clouds
163,Lorengau,PG,2022-07-29 01:19:50,-2.0226,147.2712,83.68,75,35,13.69,scattered clouds
164,Sitangkai,PH,2022-07-29 01:19:50,4.6628,119.3928,82.83,71,99,1.66,overcast clouds
165,Severo-Kurilsk,RU,2022-07-29 01:19:51,50.6789,156.125,55.65,88,100,9.53,overcast clouds
166,Leningradskiy,RU,2022-07-29 01:19:52,69.3833,178.4167,43.63,72,65,9.55,broken clouds
167,Yuanping,CN,2022-07-29 01:19:52,38.7153,112.7575,73.47,74,96,1.95,overcast clouds
168,Hudson Bay,CA,2022-07-29 01:19:53,52.85,-102.3842,70.92,53,26,7.0,scattered clouds
169,Hervey Bay,AU,2022-07-29 01:19:53,-25.2986,152.8535,65.01,70,2,8.99,clear sky
170,Porirua,NZ,2022-07-29 01:19:54,-41.1333,174.85,59.85,68,0,22.19,clear sky
171,Batagay,RU,2022-07-29 01:19:55,67.6333,134.6333,83.34,41,19,1.95,few clouds
172,Kuusamo,FI,2022-07-29 01:19:55,65.9667,29.1833,51.84,87,100,9.22,overcast clouds
173,Esperance,AU,2022-07-29 01:19:56,-33.8667,121.9,61.07,77,100,14.85,overcast clouds
174,Inhambane,MZ,2022-07-29 01:19:56,-23.865,35.3833,61.09,80,0,5.03,clear sky
175,Bukama,CD,2022-07-29 01:19:57,-9.2,25.85,68.04,41,24,2.93,few clouds
176,Nhulunbuy,AU,2022-07-29 01:19:57,-12.2333,136.7667,81.21,61,40,20.71,scattered clouds
177,Saldanha,ZA,2022-07-29 01:19:58,-33.0117,17.9442,57.25,79,100,17.67,light rain
178,Mahibadhoo,MV,2022-07-29 01:19:58,3.7833,72.9667,81.97,76,38,13.47,scattered clouds
179,Iqaluit,CA,2022-07-29 01:19:59,63.7506,-68.5145,54.7,58,75,2.3,broken clouds
180,Avera,US,2022-07-29 01:19:59,33.194,-82.5271,85.51,58,100,5.82,overcast clouds
181,Chokurdakh,RU,2022-07-29 01:20:00,70.6333,147.9167,58.82,33,100,14.34,overcast clouds
182,Koboko,UG,2022-07-29 01:20:00,3.4136,30.9599,61.95,96,98,3.22,light rain
183,Norman Wells,CA,2022-07-29 01:21:01,65.282,-126.8329,68.04,40,75,6.91,broken clouds
184,Sunland Park,US,2022-07-29 01:21:01,31.7965,-106.58,92.48,28,0,9.22,clear sky
185,Labuhan,ID,2022-07-29 01:21:02,-6.8844,112.2051,79.61,76,94,8.16,overcast clouds
