City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
287,Ryotsu,JP,82.33,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
288,Marawi,PH,78.89,overcast clouds,7.9986,124.2928,Derogongan Residence
289,Kaseda,JP,83.95,clear sky,31.4167,130.3167,Sun Stay Kaseda
291,Maragogi,BR,72.99,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
292,Rio Tuba,PH,84.24,overcast clouds,8.5061,117.4317,Triple J Lodging House
294,Nioro,GM,77.9,overcast clouds,13.35,-15.75,
296,Bilma,NE,84.43,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
297,Fare,PF,79.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
299,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
301,Mirnyy,RU,77.23,broken clouds,62.5353,113.9611,квартира
305,Candelaria,PH,84.38,overcast clouds,13.9311,121.4233,Casa de Provincia
306,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
310,Isangel,VU,75.83,light rain,-19.55,169.2667,Tanna Lodge
312,Progreso,MX,77.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
313,Gunjur,GM,77.07,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
316,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
318,Rahuri,IN,76.69,moderate rain,19.3833,74.65,P.W.D RESTHOUSE
323,Maumere,ID,78.98,overcast clouds,-8.6199,122.2111,Sylvia Hotel
325,Simpang,ID,80.08,overcast clouds,-1.2667,104.0833,
326,Borba,BR,80.4,scattered clouds,-4.3878,-59.5939,Hotel da Amazônia
329,Totolapa,MX,77.0,overcast clouds,18.5167,-96.1833,El bolso de los ruiz
332,Sharqpur,PK,80.73,overcast clouds,31.4633,74.1,Salim's Dental Clinic..Dr.Awais
333,Olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
335,Sibolga,ID,76.08,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
337,Shitanjing,CN,78.73,clear sky,39.2342,106.3439,Yingbin Hotel
343,Bubaque,GW,79.34,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
344,Rosita,NI,74.52,clear sky,13.9268,-84.4032,Hospedaje Zeledón
346,Rach Gia,VN,82.63,clear sky,10.0167,105.0833,Nhà Hàng Hòa Giang
